size.bin.start	size.bin.end	estimate	p.value	conf.low	conf.high	method	alternative	case.above	case.below	control.above	control.below
0	1000	0.975621260498029	0.583205534531029	0.626331279320179	Inf	Fisher's Exact Test for Count Data	greater	25	1437	51	2860
1000	2000	1.07584461763439	0.357226365412663	0.807192267395857	Inf	Fisher's Exact Test for Count Data	greater	63	598	113	1154
2000	3000	0.816515496600525	0.886851624203295	0.594103098174147	Inf	Fisher's Exact Test for Count Data	greater	53	274	118	498
3000	4000	0.843107262726673	0.813042433449648	0.572906602987123	Inf	Fisher's Exact Test for Count Data	greater	39	158	82	280
4000	5000	0.846537175516897	0.787704521795312	0.546302250721734	Inf	Fisher's Exact Test for Count Data	greater	34	102	65	165
5000	6000	0.62934576865676	0.969713070200165	0.388038083267086	Inf	Fisher's Exact Test for Count Data	greater	27	74	72	124
6000	7000	0.941411868472722	0.636115296953066	0.544785592532752	Inf	Fisher's Exact Test for Count Data	greater	27	47	47	77
7000	8000	0.942787287891658	0.634840268220674	0.454005866687303	Inf	Fisher's Exact Test for Count Data	greater	16	21	38	47
8000	9000	0.984775237651139	0.597827079015398	0.447916354435493	Inf	Fisher's Exact Test for Count Data	greater	16	20	26	32
9000	10000	1.08965944389587	0.519504449921331	0.455965857273068	Inf	Fisher's Exact Test for Count Data	greater	15	15	22	24
10000	11000	0.737456087471093	0.798715784576853	0.256838585226651	Inf	Fisher's Exact Test for Count Data	greater	14	10	21	11
11000	12000	0.788259928786473	0.770757051966237	0.320300196965525	Inf	Fisher's Exact Test for Count Data	greater	13	14	26	22
12000	13000	0.726577788146853	0.804842781353569	0.246740402560992	Inf	Fisher's Exact Test for Count Data	greater	13	9	22	11
13000	14000	4.9336989392009	0.151444788441693	0.533020669772073	Inf	Fisher's Exact Test for Count Data	greater	3	2	3	11
14000	15000	0.676137446036568	0.818580183592414	0.14609747819338	Inf	Fisher's Exact Test for Count Data	greater	5	6	10	8
15000	16000	3.16414818635998	0.31359649122807	0.335301352895119	Inf	Fisher's Exact Test for Count Data	greater	6	1	9	5
16000	17000	0.907350037842214	0.750582750582751	0.0819488355763912	Inf	Fisher's Exact Test for Count Data	greater	3	2	5	3
17000	18000	0.597640416364393	0.871794871794872	0.0130388665009445	Inf	Fisher's Exact Test for Count Data	greater	4	1	7	1
18000	19000	0.447209984447849	0.916666666666667	0.00870869063188976	Inf	Fisher's Exact Test for Count Data	greater	1	1	5	2
19000	20000	0.218215967513765	0.972222222222222	0.00373832250795446	Inf	Fisher's Exact Test for Count Data	greater	1	1	6	1
20000	21000	Inf	0.476190476190476	0.103488050934627	Inf	Fisher's Exact Test for Count Data	greater	2	0	3	2
21000	22000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	3	2	3	0
22000	23000	Inf	0.742857142857143	0.0362093184077759	Inf	Fisher's Exact Test for Count Data	greater	2	0	11	2
23000	24000	Inf	0.833333333333333	0.010526243125	Inf	Fisher's Exact Test for Count Data	greater	1	0	4	1
24000	25000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	5	1	3	0
25000	26000	0.707121240857854	0.857142857142857	0.0130724241840968	Inf	Fisher's Exact Test for Count Data	greater	2	1	3	1
26000	27000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	3	0	0	0
27000	28000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
28000	29000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	3	0	3	0
29000	30000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	1	0	1	0
30000	31000	Inf	0.666666666666667	0.026315761328125	Inf	Fisher's Exact Test for Count Data	greater	1	0	1	1
31000	32000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	1	0	1	0
32000	33000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
33000	34000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	1	0	3	0
34000	35000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	2	0
35000	36000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	1	0
36000	37000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	1	0	0	0
37000	38000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	1	0	1	0
38000	39000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	1	0	1	0
39000	40000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	1	0	0	0
40000	41000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
41000	42000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	1	0
42000	43000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
43000	44000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
44000	45000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
45000	46000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	1	0
46000	47000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	1	0	1	0
47000	48000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	1	0	0	0
48000	49000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	1	0
49000	50000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
50000	51000	Inf	0.75	0.0175438166666667	Inf	Fisher's Exact Test for Count Data	greater	1	0	2	1
51000	52000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	1	0	0	0
52000	53000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
53000	54000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	2	0	1	0
54000	55000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
55000	56000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
56000	57000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	1	0
57000	58000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	1	0	0	0
58000	59000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
59000	60000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	1	0
60000	61000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	1	0
61000	62000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
62000	63000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
63000	64000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
64000	65000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
65000	66000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	1	0
66000	67000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
67000	68000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
68000	69000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
69000	70000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
70000	71000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
71000	72000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
72000	73000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
73000	74000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	1	0	1	0
74000	75000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
75000	76000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
76000	77000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
77000	78000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
78000	79000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
79000	80000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
80000	81000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	1	0	1	0
81000	82000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
82000	83000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	1	0	1	0
83000	84000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	1	0
84000	85000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
85000	86000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
86000	87000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	1	0	0	0
87000	88000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
88000	89000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
89000	90000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
90000	91000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
91000	92000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
92000	93000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	1	0	0	0
93000	94000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
94000	95000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
95000	96000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
96000	97000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
97000	98000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
98000	99000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
99000	1e+05	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
1e+05	101000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
101000	102000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
102000	103000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
103000	104000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
104000	105000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
105000	106000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
106000	107000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
107000	108000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
108000	109000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
109000	110000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
110000	111000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
111000	112000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
112000	113000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
113000	114000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
114000	115000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
115000	116000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
116000	117000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
117000	118000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
118000	119000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
119000	120000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
120000	121000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
121000	122000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
