size.bin.start	size.bin.end	estimate	p.value	conf.low	conf.high	method	alternative	case.above	case.below	control.above	control.below
0	1000	1.10427097364503	0.261241043528486	0.866618616823383	Inf	Fisher's Exact Test for Count Data	greater	87	710	163	1469
1000	2000	1.08483034952497	0.302253293139116	0.853958977758286	Inf	Fisher's Exact Test for Count Data	greater	111	273	205	547
2000	3000	0.904501120947535	0.735166737209223	0.652636248899028	Inf	Fisher's Exact Test for Count Data	greater	68	111	147	217
3000	4000	1.02176101498624	0.50987625049318	0.676217763166438	Inf	Fisher's Exact Test for Count Data	greater	55	63	88	103
4000	5000	0.692667696339679	0.901787402327637	0.380619209656669	Inf	Fisher's Exact Test for Count Data	greater	19	53	42	81
5000	6000	0.736716746066399	0.85541238889403	0.390978541254359	Inf	Fisher's Exact Test for Count Data	greater	18	40	41	67
6000	7000	1.02694595130295	0.549926903186187	0.500206750371168	Inf	Fisher's Exact Test for Count Data	greater	18	23	32	42
7000	8000	1.17890668839254	0.480404166346646	0.431669169153695	Inf	Fisher's Exact Test for Count Data	greater	10	10	22	26
8000	9000	0.903502449969571	0.680829623928463	0.275446291231166	Inf	Fisher's Exact Test for Count Data	greater	7	12	11	17
9000	10000	1.55043254218433	0.380124453902081	0.407691222898352	Inf	Fisher's Exact Test for Count Data	greater	8	7	8	11
10000	11000	0.599537190028081	0.859102706711161	0.133238332651527	Inf	Fisher's Exact Test for Count Data	greater	4	11	8	13
11000	12000	0.684009668512531	0.819309087149205	0.186151672273912	Inf	Fisher's Exact Test for Count Data	greater	5	10	14	19
12000	13000	0.86223052617248	0.72254677614753	0.164405739749074	Inf	Fisher's Exact Test for Count Data	greater	4	7	6	9
13000	14000	Inf	0.285714285714286	0.223171068311046	Inf	Fisher's Exact Test for Count Data	greater	2	0	2	3
14000	15000	0.684926120164616	0.818181818181818	0.0603605055882182	Inf	Fisher's Exact Test for Count Data	greater	2	3	5	5
15000	16000	1.183212788028	0.730769230769231	0.0260729945604092	Inf	Fisher's Exact Test for Count Data	greater	1	1	5	6
16000	17000	Inf	0.6	0.0350876985677084	Inf	Fisher's Exact Test for Count Data	greater	1	0	2	2
17000	18000	4.4495956517299	0.371428571428571	0.176016007466338	Inf	Fisher's Exact Test for Count Data	greater	3	1	1	2
18000	19000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	2	2
19000	20000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	1	1	1
20000	21000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	1	4
21000	22000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	1	0	2
22000	23000	1	0.772727272727273	0.0217330117841353	Inf	Fisher's Exact Test for Count Data	greater	1	1	5	5
23000	24000	Inf	0.5	0.05262625	Inf	Fisher's Exact Test for Count Data	greater	1	0	0	1
24000	25000	1.73210098944957	0.7	0.0262013548175743	Inf	Fisher's Exact Test for Count Data	greater	2	1	1	1
25000	26000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	1	0	1
26000	27000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
27000	28000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
28000	29000	Inf	0.666666666666667	0.026315761328125	Inf	Fisher's Exact Test for Count Data	greater	1	1	0	1
29000	30000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
30000	31000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
31000	32000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
32000	33000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
33000	34000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1
34000	35000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
35000	36000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
36000	37000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
37000	38000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
38000	39000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
39000	40000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
40000	41000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
41000	42000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
42000	43000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
43000	44000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
44000	45000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
45000	46000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
46000	47000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
47000	48000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
48000	49000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
49000	50000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0
