size.bin.start	size.bin.end	estimate	p.value	conf.low	conf.high	method	alternative	case.above	case.below	control.above	control.below	cut.off
0	2500	0.929943732461422	0.777185990878985	0.756928393954882	1.13981605379222	Fisher's Exact Test for Count Data	greater	175	853	351	1591	0
2500	5000	0.806040436243134	0.86231884524079	0.507676498333509	1.26265899644061	Fisher's Exact Test for Count Data	greater	37	168	82	300	1
5000	7500	0.922809849249507	0.654990911318747	0.450001138001351	1.8386647202649	Fisher's Exact Test for Count Data	greater	17	71	34	131	2
7500	10000	1.28078174599568	0.381743171600151	0.449734704896544	3.53873062694156	Fisher's Exact Test for Count Data	greater	10	27	15	52	3
10000	12500	1.24540375538905	0.462336322648208	0.339653716544308	4.58173249115983	Fisher's Exact Test for Count Data	greater	8	20	8	25	3
12500	15000	1.09741729349316	0.601341657295746	0.147574605697884	6.52194094381119	Fisher's Exact Test for Count Data	greater	3	10	6	22	3
15000	17500	1.10463220267483	0.647812971342383	0.115206777594903	11.5218142831574	Fisher's Exact Test for Count Data	greater	4	6	3	5	3.9
17500	20000	1	0.736263736263736	0.0136004496937434	25.3526711350164	Fisher's Exact Test for Count Data	greater	1	2	4	8	5.4
20000	22500	0	1	0	19.5000651747784	Fisher's Exact Test for Count Data	greater	0	6	1	2	6.6
22500	25000	1	0.761904761904762	0.0113536158362805	34.0881717628887	Fisher's Exact Test for Count Data	greater	1	2	2	4	5.5
25000	27500	1.81006783468205	0.628571428571429	0.0469432018013122	175.846209532002	Fisher's Exact Test for Count Data	greater	2	2	1	2	5.4
27500	30000	1.73210098944957	0.7	0.0128052860814645	233.820603123064	Fisher's Exact Test for Count Data	greater	1	1	1	2	8
30000	32500	Inf	0.3	0.121578311879843	Inf	Fisher's Exact Test for Count Data	greater	2	0	1	2	3.6
32500	35000	0	1	0	155.623100303951	Fisher's Exact Test for Count Data	greater	0	1	1	3	14.2
35000	37500	0	1	0	77.9062690200851	Fisher's Exact Test for Count Data	greater	0	1	1	1	10.5
37500	40000	Inf	0.666666666666667	0.0128359375	Inf	Fisher's Exact Test for Count Data	greater	1	1	0	1	9
40000	42500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	12
42500	45000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
45000	47500	0	1	0	39.0005499686929	Fisher's Exact Test for Count Data	greater	0	2	1	1	6.8
47500	50000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	12
50000	52500	Inf	0.5	0.0256406640625	Inf	Fisher's Exact Test for Count Data	greater	2	0	1	1	8.4
52500	55000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	2	0	1	12
55000	57500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	5
57500	60000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	5
60000	62500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
62500	65000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
65000	67500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	14
67500	70000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
70000	72500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
72500	75000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
75000	77500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
77500	80000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
80000	82500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
82500	85000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
85000	87500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
87500	90000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
90000	92500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
92500	95000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
95000	97500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
97500	1e+05	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
1e+05	102500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
102500	105000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
105000	107500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
107500	110000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
110000	112500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
112500	115000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
115000	117500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
117500	120000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
120000	122500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
