size.bin.start	size.bin.end	estimate	p.value	conf.low	conf.high	method	alternative	case.above	case.below	control.above	control.below	cut.off
0	2500	1.01746532137696	0.410016686938782	0.890069035567829	1.16199696009046	Fisher's Exact Test for Count Data	greater	413	1898	796	3722	0.244798583444002
2500	5000	0.834383988322923	0.948223452698667	0.660701966127978	1.05281120659545	Fisher's Exact Test for Count Data	greater	197	275	401	467	0.910138248847926
5000	7500	0.785296310562461	0.918235169557871	0.53412727553079	1.14849141164481	Fisher's Exact Test for Count Data	greater	63	133	140	232	1.62634408602151
7500	10000	1.18948916682807	0.332871460902643	0.62940513397365	2.2314874057477	Fisher's Exact Test for Count Data	greater	27	55	40	97	2.18978102189781
10000	12500	0.742139496849918	0.860736500200686	0.3710770117332	1.47129576131854	Fisher's Exact Test for Count Data	greater	26	39	45	50	2.62105263157895
12500	15000	1.06162589442313	0.555332856241729	0.322806898905073	3.32727129084094	Fisher's Exact Test for Count Data	greater	8	16	16	34	2.22
15000	17500	1.32414702266755	0.444852803177771	0.321364537840631	5.4903900757335	Fisher's Exact Test for Count Data	greater	8	9	10	15	3.16
17500	20000	1.10602512124325	0.670807453416149	0.0668923223989789	18.3028697496782	Fisher's Exact Test for Count Data	greater	2	2	9	10	3.68421052631579
20000	22500	0	1	0	1.0725139587844	Fisher's Exact Test for Count Data	greater	0	7	7	7	4.64285714285714
22500	25000	1.70977829954424	0.418225871584332	0.241175709313662	14.7366304519057	Fisher's Exact Test for Count Data	greater	6	3	8	7	3.93333333333333
25000	27500	1.86195402493557	0.547619047619048	0.0768514917264824	48.964828151527	Fisher's Exact Test for Count Data	greater	4	2	2	2	3.25
27500	30000	1	0.757142857142857	0.0327002454073244	30.5808102521461	Fisher's Exact Test for Count Data	greater	2	2	2	2	7.75
30000	32500	Inf	0.3	0.121578311879843	Inf	Fisher's Exact Test for Count Data	greater	2	0	1	2	2.66666666666667
32500	35000	0	1	0	77.9062690200851	Fisher's Exact Test for Count Data	greater	0	1	2	3	9.2
35000	37500	Inf	0.666666666666667	0.0128359375	Inf	Fisher's Exact Test for Count Data	greater	1	0	1	1	9.5
37500	40000	Inf	0.75	0.00856250000000001	Inf	Fisher's Exact Test for Count Data	greater	1	2	0	1	9
40000	42500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	12
42500	45000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
45000	47500	0	1	0	39.0005499686929	Fisher's Exact Test for Count Data	greater	0	2	1	1	6
47500	50000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	12
50000	52500	Inf	0.6	0.017109375	Inf	Fisher's Exact Test for Count Data	greater	2	0	2	1	6.66666666666667
52500	55000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	2	0	1	12
55000	57500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	5
57500	60000	Inf	0.5	0.0256406640625	Inf	Fisher's Exact Test for Count Data	greater	1	0	0	1	5
60000	62500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	16
62500	65000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
65000	67500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	14
67500	70000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
70000	72500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
72500	75000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	1	0	1	44
75000	77500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
77500	80000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
80000	82500	1	0.833333333333333	0.00641299089985111	155.933481836567	Fisher's Exact Test for Count Data	greater	1	1	1	1	11.5
82500	85000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	20
85000	87500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
87500	90000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
90000	92500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
92500	95000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
95000	97500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
97500	1e+05	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
1e+05	102500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
102500	105000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
105000	107500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
107500	110000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
110000	112500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
112500	115000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
115000	117500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
117500	120000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
