size.bin.start	size.bin.end	estimate	p.value	conf.low	conf.high	method	alternative	case.above	case.below	control.above	control.below	cut.off
0	2500	0.929943732461422	0.777185990878985	0.756928393954882	1.13981605379222	Fisher's Exact Test for Count Data	greater	175	853	351	1591	0
2500	5000	0.766261366634995	0.945135384765201	0.532746188766706	1.09856997502839	Fisher's Exact Test for Count Data	greater	78	127	170	212	0
5000	7500	0.65386798665811	0.946901093562489	0.350091866261289	1.1957680149349	Fisher's Exact Test for Count Data	greater	23	65	58	107	1
7500	10000	0.876876661211535	0.700966423242358	0.361541642572994	2.11133134283403	Fisher's Exact Test for Count Data	greater	17	20	33	34	1
10000	12500	1.13004155269358	0.511380311887858	0.352585225397593	3.61696719598747	Fisher's Exact Test for Count Data	greater	11	17	12	21	2
12500	15000	1.52620988792611	0.381595597126004	0.324767059291525	7.1210483341212	Fisher's Exact Test for Count Data	greater	6	7	10	18	2
15000	17500	2.22221259258736	0.352187028657617	0.233751388734626	24.4953009586982	Fisher's Exact Test for Count Data	greater	7	3	4	4	2.5
17500	20000	1.91150654187858	0.553846153846154	0.0785245768975016	137.209036877431	Fisher's Exact Test for Count Data	greater	2	1	6	6	3.5
20000	22500	0	1	0	19.5000651747784	Fisher's Exact Test for Count Data	greater	0	6	1	2	5
22500	25000	0.539812159526401	0.880952380952381	0.00638884274231632	16.4991903249255	Fisher's Exact Test for Count Data	greater	1	2	3	3	3.5
25000	27500	1.81006783468205	0.628571428571429	0.0469432018013122	175.846209532002	Fisher's Exact Test for Count Data	greater	2	2	1	2	5
27500	30000	1.73210098944957	0.7	0.0128052860814645	233.820603123064	Fisher's Exact Test for Count Data	greater	1	1	1	2	6
30000	32500	Inf	0.3	0.121578311879843	Inf	Fisher's Exact Test for Count Data	greater	2	0	1	2	2
32500	35000	0	1	0	58.4474885844748	Fisher's Exact Test for Count Data	greater	0	1	2	2	11
35000	37500	Inf	0.666666666666667	0.0128359375	Inf	Fisher's Exact Test for Count Data	greater	1	0	1	1	9.5
37500	40000	Inf	0.666666666666667	0.0128359375	Inf	Fisher's Exact Test for Count Data	greater	1	1	0	1	9
40000	42500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	12
42500	45000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
45000	47500	0	1	0	39.0005499686929	Fisher's Exact Test for Count Data	greater	0	2	1	1	6
47500	50000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	12
50000	52500	Inf	0.5	0.0256406640625	Inf	Fisher's Exact Test for Count Data	greater	2	0	1	1	6
52500	55000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	2	0	1	12
55000	57500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	5
57500	60000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	5
60000	62500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
62500	65000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
65000	67500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	14
67500	70000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
70000	72500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
72500	75000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
75000	77500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
77500	80000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
80000	82500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
82500	85000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
85000	87500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
87500	90000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
90000	92500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
92500	95000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
95000	97500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
97500	1e+05	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
1e+05	102500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
102500	105000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
105000	107500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
107500	110000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
110000	112500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
112500	115000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
115000	117500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
