size.bin.start	size.bin.end	estimate	p.value	conf.low	conf.high	method	alternative	case.above	case.below	control.above	control.below	cut.off
0	2500	1.07236746576842	0.353882294983431	0.776775443810198	1.46952053761564	Fisher's Exact Test for Count Data	greater	66	1217	124	2452	1
2500	5000	0.93808616614223	0.634896794643557	0.458272937552129	1.84756052944094	Fisher's Exact Test for Count Data	greater	15	252	29	457	3
5000	7500	0.753591633172036	0.788116814227077	0.232264121743748	2.13342812209527	Fisher's Exact Test for Count Data	greater	6	102	15	192	5
7500	10000	1.0403200088426	0.601829661540635	0.203172112550244	4.69658075726459	Fisher's Exact Test for Count Data	greater	4	41	6	64	6
10000	12500	1.22507489475014	0.487753820873737	0.281940686464203	4.91893599715832	Fisher's Exact Test for Count Data	greater	5	32	7	55	5.9
12500	15000	0	1	0	4.86748684281467	Fisher's Exact Test for Count Data	greater	0	11	3	19	5.9
15000	17500	2.54484106355719	0.507246376811594	0.0291539178403138	221.689421745095	Fisher's Exact Test for Count Data	greater	1	6	1	16	7
17500	20000	0	1	0	271.844660194175	Fisher's Exact Test for Count Data	greater	0	1	1	6	7.8
20000	22500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	1	0	11	8
22500	25000	12.4970629879867	0.046953046953047	0.747043157813092	875.880243374216	Fisher's Exact Test for Count Data	greater	4	2	1	8	5.4
25000	27500	Inf	0.666666666666667	0.0128359375	Inf	Fisher's Exact Test for Count Data	greater	1	1	0	1	0
27500	30000	Inf	0.666666666666667	0.0128359375	Inf	Fisher's Exact Test for Count Data	greater	1	1	0	1	8
30000	32500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
32500	35000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	5
35000	37500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
37500	40000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
40000	42500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
42500	45000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
45000	47500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
47500	50000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
50000	52500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	8
52500	55000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
55000	57500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
57500	60000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
60000	62500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	16
62500	65000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
65000	67500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
67500	70000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
70000	72500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
72500	75000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	1	0	1	44
75000	77500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
77500	80000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
80000	82500	0	1	0	39.0005499686929	Fisher's Exact Test for Count Data	greater	0	2	1	1	12.7
82500	85000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	20
85000	87500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
