size.bin.start	size.bin.end	estimate	p.value	conf.low	conf.high	method	alternative	case.above	case.below	control.above	control.below	cut.off
0	2500	1.09061973223798	0.175247106443199	0.912238190873801	1.30184553744659	Fisher's Exact Test for Count Data	greater	238	1045	445	2131	0.240683229813665
2500	5000	0.887733633838041	0.803910932902166	0.649958751459352	1.21124598093231	Fisher's Exact Test for Count Data	greater	119	148	231	255	0.973251028806584
5000	7500	0.89700993087202	0.714054165423871	0.537783902900989	1.4865585954299	Fisher's Exact Test for Count Data	greater	40	68	82	125	1.7487922705314
7500	10000	1.40366708336555	0.276304002222104	0.557227264633825	3.50832211084247	Fisher's Exact Test for Count Data	greater	14	31	17	53	2.17142857142857
10000	12500	0.602317003260455	0.923889142231019	0.241061783899757	1.47471354040076	Fisher's Exact Test for Count Data	greater	15	22	33	29	2.82258064516129
12500	15000	0.6016218915732	0.841851820161053	0.0494685643079245	4.38106394810969	Fisher's Exact Test for Count Data	greater	2	9	6	16	2
15000	17500	1.85336788551525	0.395118230358505	0.229974042204175	16.9816137599727	Fisher's Exact Test for Count Data	greater	4	3	7	10	3.11764705882353
17500	20000	0	1	0	64.9350649350649	Fisher's Exact Test for Count Data	greater	0	1	3	4	4
20000	22500	0	1	0	54.5543107647345	Fisher's Exact Test for Count Data	greater	0	1	5	6	4.54545454545455
22500	25000	3.65647532989097	0.293706293706294	0.235399665603244	235.257594036052	Fisher's Exact Test for Count Data	greater	5	1	5	4	3.55555555555556
25000	27500	Inf	0.666666666666667	0.0128359375	Inf	Fisher's Exact Test for Count Data	greater	1	1	0	1	0
27500	30000	Inf	0.666666666666667	0.0128359375	Inf	Fisher's Exact Test for Count Data	greater	1	1	0	1	8
30000	32500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
32500	35000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	5
35000	37500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
37500	40000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
40000	42500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
42500	45000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
45000	47500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
47500	50000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
50000	52500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	8
52500	55000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
55000	57500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
57500	60000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
60000	62500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	16
62500	65000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
65000	67500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
67500	70000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
70000	72500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
72500	75000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	1	0	1	44
75000	77500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
77500	80000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
80000	82500	1	0.833333333333333	0.00641299089985111	155.933481836567	Fisher's Exact Test for Count Data	greater	1	1	1	1	11.5
82500	85000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	20
85000	87500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
