size.bin.start	size.bin.end	estimate	p.value	conf.low	conf.high	method	alternative	case.above	case.below	control.above	control.below	cut.off
0	2500	1.09061973223798	0.175247106443199	0.912238190873801	1.30184553744659	Fisher's Exact Test for Count Data	greater	238	1045	445	2131	0
2500	5000	0.887733633838041	0.803910932902166	0.649958751459352	1.21124598093231	Fisher's Exact Test for Count Data	greater	119	148	231	255	0
5000	7500	0.89700993087202	0.714054165423871	0.537783902900989	1.4865585954299	Fisher's Exact Test for Count Data	greater	40	68	82	125	1
7500	10000	1.03873801975362	0.536048195298941	0.457524017263928	2.35262000934196	Fisher's Exact Test for Count Data	greater	21	24	32	38	1
10000	12500	0.66734976109761	0.876157183506987	0.255836774373206	1.68224509779315	Fisher's Exact Test for Count Data	greater	12	25	26	36	3
12500	15000	0.664499437914572	0.818243080692904	0.0880721160415591	3.92542113592931	Fisher's Exact Test for Count Data	greater	3	8	8	14	1
15000	17500	1.85336788551525	0.395118230358505	0.229974042204175	16.9816137599727	Fisher's Exact Test for Count Data	greater	4	3	7	10	3
17500	20000	0	1	0	64.9350649350649	Fisher's Exact Test for Count Data	greater	0	1	3	4	3
20000	22500	0	1	0	54.5543107647345	Fisher's Exact Test for Count Data	greater	0	1	5	6	4
22500	25000	3.61926064723483	0.230769230769231	0.301934698955503	64.055257974304	Fisher's Exact Test for Count Data	greater	4	2	3	6	4
25000	27500	Inf	0.666666666666667	0.0128359375	Inf	Fisher's Exact Test for Count Data	greater	1	1	0	1	0
27500	30000	Inf	0.666666666666667	0.0128359375	Inf	Fisher's Exact Test for Count Data	greater	1	1	0	1	8
30000	32500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
32500	35000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	5
35000	37500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
37500	40000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
40000	42500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
42500	45000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
45000	47500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
47500	50000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
50000	52500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	8
52500	55000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
55000	57500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
57500	60000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
60000	62500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	16
62500	65000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
65000	67500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
67500	70000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
70000	72500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
72500	75000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	1	0	1	44
75000	77500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
77500	80000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
80000	82500	1	0.833333333333333	0.00641299089985111	155.933481836567	Fisher's Exact Test for Count Data	greater	1	1	1	1	11.5
82500	85000	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	1	20
85000	87500	0	1	0	Inf	Fisher's Exact Test for Count Data	greater	0	0	0	0	NA
