score_cut.off gene.set P
0 PhMm_Aggr_CardvascMuscle_all 0.0026
0 PhMm_Aggr_DigestHepato_all 0.0019
0 PhMm_Aggr_EndoExocrRepr_all 0
0 PhMm_Aggr_HematoImmune_all 0
0 PhMm_Aggr_IntegAdipPigm_all 1e-04
0 PhMm_Aggr_Sensory_all 0.0318
0 PhMm_Aggr_SkeCranioLimbs_all 0.0017
0 BspanML_lg2rpkm0.93 0.7986
0 BspanLA_lg2rpkm.MIN 1
0.01 PhMm_Aggr_CardvascMuscle_all 0.6795
0.01 PhMm_Aggr_DigestHepato_all 0.3519
0.01 PhMm_Aggr_EndoExocrRepr_all 0.151
0.01 PhMm_Aggr_HematoImmune_all 0.3413
0.01 PhMm_Aggr_IntegAdipPigm_all 0.1881
0.01 PhMm_Aggr_Sensory_all 0.4067
0.01 PhMm_Aggr_SkeCranioLimbs_all 0.3454
0.01 BspanML_lg2rpkm0.93 0.927
0.01 BspanLA_lg2rpkm.MIN 0.8275
0.02 PhMm_Aggr_CardvascMuscle_all 0.8312
0.02 PhMm_Aggr_DigestHepato_all 0.3831
0.02 PhMm_Aggr_EndoExocrRepr_all 0.2811
0.02 PhMm_Aggr_HematoImmune_all 0.6048
0.02 PhMm_Aggr_IntegAdipPigm_all 0.39
0.02 PhMm_Aggr_Sensory_all 0.393
0.02 PhMm_Aggr_SkeCranioLimbs_all 0.4753
0.02 BspanML_lg2rpkm0.93 0.9582
0.02 BspanLA_lg2rpkm.MIN 0.4903
0.03 PhMm_Aggr_CardvascMuscle_all 0.9328
0.03 PhMm_Aggr_DigestHepato_all 0.8847
0.03 PhMm_Aggr_EndoExocrRepr_all 0.4208
0.03 PhMm_Aggr_HematoImmune_all 0.9667
0.03 PhMm_Aggr_IntegAdipPigm_all 0.7713
0.03 PhMm_Aggr_Sensory_all 0.5763
0.03 PhMm_Aggr_SkeCranioLimbs_all 0.8279
0.03 BspanML_lg2rpkm0.93 0.9676
0.03 BspanLA_lg2rpkm.MIN 0.0637
0.04 PhMm_Aggr_CardvascMuscle_all 0.865
0.04 PhMm_Aggr_DigestHepato_all 0.8636
0.04 PhMm_Aggr_EndoExocrRepr_all 0.6088
0.04 PhMm_Aggr_HematoImmune_all 0.9551
0.04 PhMm_Aggr_IntegAdipPigm_all 0.9418
0.04 PhMm_Aggr_Sensory_all 0.6973
0.04 PhMm_Aggr_SkeCranioLimbs_all 0.9476
0.04 BspanML_lg2rpkm0.93 0.9049
0.04 BspanLA_lg2rpkm.MIN 0.1835
0.05 PhMm_Aggr_CardvascMuscle_all 0.8872
0.05 PhMm_Aggr_DigestHepato_all 0.9193
0.05 PhMm_Aggr_EndoExocrRepr_all 0.7966
0.05 PhMm_Aggr_HematoImmune_all 0.9685
0.05 PhMm_Aggr_IntegAdipPigm_all 0.942
0.05 PhMm_Aggr_Sensory_all 0.8041
0.05 PhMm_Aggr_SkeCranioLimbs_all 0.9478
0.05 BspanML_lg2rpkm0.93 0.8623
0.05 BspanLA_lg2rpkm.MIN 0.1862
0.06 PhMm_Aggr_CardvascMuscle_all 0.9477
0.06 PhMm_Aggr_DigestHepato_all 0.9824
0.06 PhMm_Aggr_EndoExocrRepr_all 0.9392
0.06 PhMm_Aggr_HematoImmune_all 0.9756
0.06 PhMm_Aggr_IntegAdipPigm_all 0.9848
0.06 PhMm_Aggr_Sensory_all 0.9107
0.06 PhMm_Aggr_SkeCranioLimbs_all 0.9802
0.06 BspanML_lg2rpkm0.93 0.8266
0.06 BspanLA_lg2rpkm.MIN 0.2151
0.07 PhMm_Aggr_CardvascMuscle_all 0.8763
0.07 PhMm_Aggr_DigestHepato_all 0.9862
0.07 PhMm_Aggr_EndoExocrRepr_all 0.9077
0.07 PhMm_Aggr_HematoImmune_all 0.8758
0.07 PhMm_Aggr_IntegAdipPigm_all 0.9663
0.07 PhMm_Aggr_Sensory_all 0.8335
0.07 PhMm_Aggr_SkeCranioLimbs_all 0.9568
0.07 BspanML_lg2rpkm0.93 0.8912
0.07 BspanLA_lg2rpkm.MIN 0.1543
0.08 PhMm_Aggr_CardvascMuscle_all 0.8013
0.08 PhMm_Aggr_DigestHepato_all 0.991
0.08 PhMm_Aggr_EndoExocrRepr_all 0.8464
0.08 PhMm_Aggr_HematoImmune_all 0.8058
0.08 PhMm_Aggr_IntegAdipPigm_all 0.9821
0.08 PhMm_Aggr_Sensory_all 0.8758
0.08 PhMm_Aggr_SkeCranioLimbs_all 0.9622
0.08 BspanML_lg2rpkm0.93 0.9143
0.08 BspanLA_lg2rpkm.MIN 0.1485
0.09 PhMm_Aggr_CardvascMuscle_all 0.7997
