gene_set	OR	P	target.CH	target.other	bg.CH	bg.other	BHFDR
FMR1_Targets_Ascano	2.82	0.0275	6	918	43	18531	0.0507692307692308
FMR1_Targets_Darnell	1.98	0.159	4	835	45	18614	0.212
Neurof_GoNervSysDev	3.07	0.00187	12	1859	37	17590	0.01122
Neurof_GoNervSysDev_CNS	1.58	0.307	3	770	46	18679	0.387789473684211
Neurof_GoNervTransm	3	0.0329	5	709	44	18740	0.0564
Neurof_GoNeuronBody	0	1	0	307	49	19142	1
Neurof_GoNeuronProj	2.92	0.0108	8	1218	41	18231	0.02592
Neurof_GoSynaptic	4.29	0.00435	6	612	43	18837	0.01419
Neurof_KeggSynaptic	5.4	0.00343	5	401	44	19048	0.01372
Neurof_PathwaysAxonG	5.66	0.00283	5	383	44	19066	0.013584
Neurof_UnionInclusive	3.69	3.14e-05	19	2847	30	16602	0.0003768
PSD_BayesGrant_fullset	5.2	5.82e-06	14	1390	35	18059	0.00013968
Neurof_UnionStringent	3.7	0.000655	11	1410	38	18039	0.00524
PhHs_MindFun_ADX	5.44	0.0566	2	151	47	19298	0.09056
PhHs_MindFun_All	4.99	0.00473	5	433	44	19016	0.01419
PhHs_NervSys_ADX	3.31	0.0233	5	646	44	18803	0.0466
PhHs_NervSys_All	2.55	0.0162	9	1579	40	17870	0.0353454545454545
PhMm_Aggr_CardvascMuscle_all	1.66	0.139	8	2045	41	17404	0.254833333333333
PhMm_Aggr_DigestHepato_all	1.69	0.169	6	1486	43	17963	0.265571428571429
PhMm_Aggr_EndoExocrRepr_all	1.44	0.243	7	2018	42	17431	0.297
PhMm_Aggr_HematoImmune_all	1.67	0.111	10	2594	39	16855	0.2442
PhMm_Aggr_IntegAdipPigm_all	2.49	0.0184	9	1613	40	17836	0.0674666666666667
PhMm_Aggr_Sensory_all	1.61	0.222	5	1285	44	18164	0.297
PhMm_Aggr_SkeCranioLimbs_all	1.29	0.368	5	1580	44	17869	0.4048
PhMm_NervSystem_all	3.2	0.000497	15	2357	34	17092	0.005467
PhMm_NeuroBehav_all	1.85	0.0793	9	2111	40	17338	0.218075
PhMm_NeuroUnion_all	2.48	0.00387	16	3182	33	16267	0.021285
gnomAD_oe_lof_upper_0.35	3.61	4.19e-05	19	2906	30	16543	NA
BspanVH_lg2rpkm4.74	2.24	0.00546	20	4578	29	14871	0.01456
BspanHM_lg2rpkm3.21	0.831	0.75	10	4587	39	14862	0.818181818181818
BspanML_lg2rpkm0.93	1.05	0.491	12	4574	37	14875	0.5892
BspanLA_lg2rpkm.MIN	0.452	0.985	6	4589	43	14860	1
blueModule	2.49	0.00687	13	2466	36	16983	NA
Kirov_ARC	15	0.0681	1	27	48	19422	NA
Kirov_NMDAR	13.7	0.0106	2	60	47	19389	NA
Netw_full	6.13	0.0459	2	134	47	19315	NA
SynKEGG_Cholinergic	7.62	0.0312	2	108	47	19341	NA
SynKEGG_Glutamatergic	0	1	0	114	49	19335	NA
SynKEGG_Dopaminergic	6.47	0.0417	2	127	47	19322	NA
SynKEGG_GABAergic	0	1	0	88	49	19361	NA
SynKEGG_Serotonergic	0	1	0	112	49	19337	NA
GOP_lessthan500g	9.19	0.00196	48	16324	1	3125	NA
BspanVHM_PreNat	1.57	0.13	11	3025	38	16424	0.183529411764706
BspanVHM_EqlNat	0.905	0.656	7	3024	42	16425	0.749714285714286
BspanVHM_PstNat	1.7	0.083	12	3116	37	16333	0.1245
PhMm_CompleteLethality	0.334	0.949	1	1143	48	18306	0.949
scRNA_DEGs_Mic	1.68	0.277	3	726	46	18723	NA
scRNA_DEGs_Per	3.13	0.0179	6	831	43	18618	NA
scRNA_DEGs_End	3.96	0.0119	5	543	44	18906	NA
scRNA_DEGs_PgG2M	2.72	0.108	3	456	46	18993	NA
scRNA_DEGs_ExDp1	1.64	0.354	2	492	47	18957	NA
scRNA_DEGs_ExDp2	1.16	0.52	2	686	47	18763	NA
scRNA_DEGs_oRG	0.694	0.766	1	567	48	18882	NA
scRNA_DEGs_vRG	0	1	0	442	49	19007	NA
scRNA_DEGs_OPC	0.796	0.718	1	496	48	18953	NA
scRNA_DEGs_ExM_U	0	1	0	232	49	19217	NA
scRNA_DEGs_PgS	0.701	0.762	1	561	48	18888	NA
scRNA_DEGs_ExM	3.69	0.109	2	222	47	19227	NA
scRNA_DEGs_IP	0	1	0	238	49	19211	NA
scRNA_DEGs_InMGE	0	1	0	163	49	19286	NA
scRNA_DEGs_InCGE	0	1	0	151	49	19298	NA
scRNA_DEGs_ExN	0	1	0	76	49	19373	NA
