gene_set	OR	P	target.CH	target.other	bg.CH	bg.other	BHFDR
FMR1_Targets_Ascano	0.846	0.696	4	905	95	18187	0.8352
FMR1_Targets_Darnell	1.42	0.261	6	828	93	18264	0.696
Neurof_GoNervSysDev	1.05	0.492	10	1846	89	17246	0.8032
Neurof_GoNervSysDev_CNS	1.55	0.206	6	763	93	18329	0.618
Neurof_GoNervTransm	1.09	0.502	4	707	95	18385	0.8032
Neurof_GoNeuronBody	0.622	0.8	1	308	98	18784	0.914285714285714
Neurof_GoNeuronProj	1.13	0.436	7	1206	92	17886	0.8032
Neurof_GoSynaptic	1.97	0.0967	6	606	93	18486	0.464
Neurof_KeggSynaptic	0.961	0.619	2	401	97	18691	0.825333333333333
Neurof_PathwaysAxonG	0.5	0.865	1	382	98	18710	0.936
Neurof_UnionInclusive	1.11	0.393	16	2825	83	16267	0.8032
PSD_BayesGrant_fullset	1.95	0.0261	13	1376	86	17716	0.2088
Neurof_UnionStringent	1.26	0.302	9	1399	90	17693	0.7248
PhHs_MindFun_ADX	1.27	0.548	1	152	98	18940	0.822
PhHs_MindFun_All	0.44	0.897	1	433	98	18659	0.936
PhHs_NervSys_ADX	1.87	0.116	6	638	93	18454	0.464
PhHs_NervSys_All	1.56	0.107	12	1551	87	17541	0.464
PhMm_Aggr_CardvascMuscle_all	1.29	0.24	13	2007	86	17085	0.517
PhMm_Aggr_DigestHepato_all	1.21	0.344	9	1457	90	17635	0.540571428571428
PhMm_Aggr_EndoExocrRepr_all	0.858	0.717	9	1993	90	17099	0.717
PhMm_Aggr_HematoImmune_all	0.98	0.572	13	2552	86	16540	0.699111111111111
PhMm_Aggr_IntegAdipPigm_all	1.1	0.443	9	1589	90	17503	0.609125
PhMm_Aggr_Sensory_all	0.906	0.65	6	1269	93	17823	0.715
PhMm_Aggr_SkeCranioLimbs_all	2.17	0.00652	16	1557	83	17535	0.07172
PhMm_NervSystem_all	1.39	0.149	16	2331	83	16761	0.517
PhMm_NeuroBehav_all	1.24	0.282	13	2081	86	17011	0.517
PhMm_NeuroUnion_all	1.45	0.0824	22	3137	77	15955	0.4532
gnomAD_oe_lof_upper_0.35	1.08	0.434	16	2895	83	16197	NA
BspanVH_lg2rpkm4.74	1.67	0.0119	34	4547	65	14545	0.2088
BspanHM_lg2rpkm3.21	0.916	0.678	22	4538	77	14554	0.8352
BspanML_lg2rpkm0.93	1.29	0.151	28	4463	71	14629	0.517714285714286
BspanLA_lg2rpkm.MIN	0.499	0.996	13	4442	86	14650	0.996
blueModule	1.73	0.0247	20	2436	79	16656	NA
Kirov_ARC	0	1	0	26	99	19066	NA
Kirov_NMDAR	6.65	0.0396	2	59	97	19033	NA
Netw_full	4.56	0.0315	3	130	96	18962	NA
SynKEGG_Cholinergic	0	1	0	111	99	18981	NA
SynKEGG_Glutamatergic	0	1	0	114	99	18978	NA
SynKEGG_Dopaminergic	0	1	0	130	99	18962	NA
SynKEGG_GABAergic	4.56	0.0758	2	86	97	19006	NA
SynKEGG_Serotonergic	0	1	0	110	99	18982	NA
GOP_lessthan500g	1.91	0.0336	90	16025	9	3067	NA
BspanVHM_PreNat	0.957	0.605	15	3003	84	16089	0.825333333333333
BspanVHM_EqlNat	1.72	0.0179	24	2994	75	16098	0.2088
BspanVHM_PstNat	1.07	0.436	17	3088	82	16004	0.8032
PhMm_CompleteLethality	1.4	0.232	8	1128	91	17964	0.517
scRNA_DEGs_Mic	1.97	0.0778	7	711	92	18381	NA
scRNA_DEGs_Per	0.933	0.623	4	824	95	18268	NA
scRNA_DEGs_End	2.23	0.062	6	537	93	18555	NA
scRNA_DEGs_PgG2M	2.2	0.0871	5	451	94	18641	NA
scRNA_DEGs_ExDp1	2.04	0.109	5	485	94	18607	NA
scRNA_DEGs_ExDp2	1.74	0.145	6	682	93	18410	NA
scRNA_DEGs_oRG	1.39	0.332	4	560	95	18532	NA
scRNA_DEGs_vRG	1.8	0.192	4	436	95	18656	NA
scRNA_DEGs_OPC	0.783	0.725	2	490	97	18602	NA
scRNA_DEGs_ExM_U	2.6	0.116	3	227	96	18865	NA
scRNA_DEGs_PgS	1.04	0.554	3	556	96	18536	NA
scRNA_DEGs_ExM	0	1	0	222	99	18870	NA
scRNA_DEGs_IP	0	1	0	238	99	18854	NA
scRNA_DEGs_InMGE	1.22	0.562	1	158	98	18934	NA
scRNA_DEGs_InCGE	2.66	0.179	2	147	97	18945	NA
scRNA_DEGs_ExN	0	1	0	76	99	19016	NA
