gene_set	OR	P	target.CH	target.other	bg.CH	bg.other	BHFDR
FMR1_Targets_Ascano	2.75	0.03	6	910	44	18366	0.36
FMR1_Targets_Darnell	0.45	0.891	1	836	49	18440	1
Neurof_GoNervSysDev	0.814	0.723	4	1860	46	17416	1
Neurof_GoNervSysDev_CNS	0	1	0	773	50	18503	1
Neurof_GoNervTransm	0.531	0.848	1	713	49	18563	1
Neurof_GoNeuronBody	0	1	0	309	50	18967	1
Neurof_GoNeuronProj	0.946	0.62	3	1218	47	18058	1
Neurof_GoSynaptic	0	1	0	615	50	18661	1
Neurof_KeggSynaptic	0	1	0	404	50	18872	1
Neurof_PathwaysAxonG	0	1	0	384	50	18892	1
Neurof_UnionInclusive	0.787	0.767	6	2847	44	16429	1
PSD_BayesGrant_fullset	0.534	0.886	2	1396	48	17880	1
Neurof_UnionStringent	0.527	0.89	2	1413	48	17863	1
PhHs_MindFun_ADX	0	1	0	153	50	19123	1
PhHs_MindFun_All	2.8	0.101	3	430	47	18846	0.452
PhHs_NervSys_ADX	1.84	0.236	3	647	47	18629	0.708
PhHs_NervSys_All	2.48	0.0184	9	1566	41	17710	0.36
PhMm_Aggr_CardvascMuscle_all	2.13	0.0337	10	2028	40	17248	0.1276
PhMm_Aggr_DigestHepato_all	2.31	0.0348	8	1471	42	17805	0.1276
PhMm_Aggr_EndoExocrRepr_all	0.956	0.606	5	2007	45	17269	0.851
PhMm_Aggr_HematoImmune_all	1.42	0.218	9	2575	41	16701	0.399666666666667
PhMm_Aggr_IntegAdipPigm_all	2.76	0.00744	10	1602	40	17674	0.08184
PhMm_Aggr_Sensory_all	0.899	0.653	3	1278	47	17998	0.851
PhMm_Aggr_SkeCranioLimbs_all	1.83	0.111	7	1574	43	17702	0.2442
PhMm_NervSystem_all	0.8	0.745	5	2350	45	16926	0.851
PhMm_NeuroBehav_all	0.71	0.809	4	2103	46	17173	0.851
PhMm_NeuroUnion_all	0.694	0.851	6	3167	44	16109	0.851
gnomAD_oe_lof_upper_0.35	1.41	0.213	10	2904	40	16372	NA
BspanVH_lg2rpkm4.74	1.38	0.189	15	4574	35	14702	0.648
BspanHM_lg2rpkm3.21	1.52	0.113	16	4555	34	14721	0.452
BspanML_lg2rpkm0.93	0.62	0.927	8	4530	42	14746	1
BspanLA_lg2rpkm.MIN	0.925	0.644	11	4503	39	14773	1
blueModule	0.139	0.999	1	2464	49	16812	NA
Kirov_ARC	0	1	0	27	50	19249	NA
Kirov_NMDAR	0	1	0	62	50	19214	NA
Netw_full	0	1	0	135	50	19141	NA
SynKEGG_Cholinergic	0	1	0	111	50	19165	NA
SynKEGG_Glutamatergic	0	1	0	113	50	19163	NA
SynKEGG_Dopaminergic	0	1	0	130	50	19146	NA
SynKEGG_GABAergic	0	1	0	88	50	19188	NA
SynKEGG_Serotonergic	0	1	0	110	50	19166	NA
GOP_lessthan500g	9.35	0.00172	49	16187	1	3089	NA
BspanVHM_PreNat	1.71	0.0806	12	3009	38	16267	0.452
BspanVHM_EqlNat	0.734	0.816	6	3019	44	16257	1
BspanVHM_PstNat	1.83	0.0497	13	3101	37	16175	0.3976
PhMm_CompleteLethality	2.18	0.0725	6	1134	44	18142	0.199375
scRNA_DEGs_Mic	0.526	0.851	1	720	49	18556	NA
scRNA_DEGs_Per	2.47	0.0635	5	829	45	18447	NA
scRNA_DEGs_End	1.43	0.415	2	544	48	18732	NA
scRNA_DEGs_PgG2M	1.72	0.332	2	455	48	18821	NA
scRNA_DEGs_ExDp1	0	1	0	493	50	18783	NA
scRNA_DEGs_ExDp2	0	1	0	687	50	18589	NA
scRNA_DEGs_oRG	1.38	0.433	2	564	48	18712	NA
scRNA_DEGs_vRG	0	1	0	441	50	18835	NA
scRNA_DEGs_OPC	0	1	0	494	50	18782	NA
scRNA_DEGs_ExM_U	0	1	0	231	50	19045	NA
scRNA_DEGs_PgS	2.14	0.176	3	557	47	18719	NA
scRNA_DEGs_ExM	0	1	0	223	50	19053	NA
scRNA_DEGs_IP	0	1	0	238	50	19038	NA
scRNA_DEGs_InMGE	0	1	0	160	50	19116	NA
scRNA_DEGs_InCGE	0	1	0	149	50	19127	NA
scRNA_DEGs_ExN	0	1	0	76	50	19200	NA
