Symbol	Description	Score	Functions	Links
PKHD1		0.9573009477924472		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=5314
FSIP2		0.9438271281487666		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=401024
DNAH5		0.9289076815548305		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=1767
PCDH15		0.9208718771261918		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=65217
PGBD5		0.8736860840311349		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=79605
MUC16		0.8543442337625387		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=94025
SDK1		0.8349072852665202	cell-cell adhesion via plasma-membrane adhesion molecules	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=221935
TNXB		0.7630002697734606		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=7148
TOP3B		0.7617987046634673		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=8940
ST7L		0.6735899857794427		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=54879
LPIN1		0.6657250913658754		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=23175
ACAD11		0.6605418408726074		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=84129
DISC1		0.6555644239479735	neural precursor cell proliferation	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=27185
TUBGCP5		0.6534954001482216	cell division site, gamma-tubulin complex, microtubule binding, microtubule nucleation, microtubule polymerization, microtubule polymerization or depolymerization, protein polymerization, spindle organization	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=114791
DOCK8		0.6347307749754089		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=81704
MICA		0.62170166446744		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=100507436
ARHGAP22		0.5979529397553073		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=58504
NCK1		0.586603795297626	protein polymerization	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=4690
CDH3		0.5842626569255247	cell-cell junction organization, extrinsic component of membrane, extrinsic component of plasma membrane	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=1001
CTNNA3		0.5837273816653965	cell-cell junction	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=29119
LPIN3		0.05745597396372626		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=64900
FIGNL1		0.05276294489948813		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=63979
CNTN5		0.04896505314366911		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=53942
LRCH4		0.04492690304360447		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=4034
ADIPOR2		0.042621047908235954		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=79602
LRCH1		0.037353295155433286		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=23143
CDH10		0.03612645485763294	cell-cell adhesion via plasma-membrane adhesion molecules, cell-cell junction, cell-cell junction organization, extrinsic component of membrane, extrinsic component of plasma membrane	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=1008
CDH24		0.03381588347069103	cell-cell adhesion via plasma-membrane adhesion molecules, cell-cell junction, cell-cell junction organization, extrinsic component of membrane, extrinsic component of plasma membrane	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=64403
CDH12		0.030155886771717377	cell-cell adhesion via plasma-membrane adhesion molecules, cell-cell junction, cell-cell junction organization, extrinsic component of membrane, extrinsic component of plasma membrane	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=1010
CDH4		0.029685862402784813	cell-cell adhesion via plasma-membrane adhesion molecules, cell-cell junction organization, extrinsic component of membrane, extrinsic component of plasma membrane	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=1002
