Symbol	Description	Score	Functions	Links
C19orf38		0.9658771438086402		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=255809
TOP3B		0.7976079017753974		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=8940
MUC16		0.7896334793714259		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=94025
TNXB		0.786572710128423		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=7148
EXOSC10		0.7663260913740592	exonuclease activity	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=5394
ADAMTS5		0.7280853120638737		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=11096
MYO18B		0.7225831072874314		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=84700
MTTP		0.5478405602703101	lipid homeostasis, lipid transfer activity, plasma lipoprotein particle assembly, plasma lipoprotein particle organization, protein-lipid complex assembly, protein-lipid complex subunit organization, regulation of plasma lipoprotein particle levels, sterol homeostasis, sterol transfer activity, sterol transporter activity	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=4547
TUBGCP5		0.5295014726811011	cell division site, gamma-tubulin complex, microtubule binding, microtubule nucleation, microtubule polymerization, microtubule polymerization or depolymerization	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=114791
CDH13		0.5157289766019914	cell-cell adhesion via plasma-membrane adhesion molecules, cell-cell junction organization, extrinsic component of membrane, extrinsic component of plasma membrane	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=1012
CDHR2		0.5110180525092267	actin-based cell projection	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=54825
CTNNA3		0.4653949244308426	cell-cell junction	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=29119
P4HB		0.06666879483528781	plasma lipoprotein particle assembly, plasma lipoprotein particle organization, protein-lipid complex assembly, protein-lipid complex subunit organization, regulation of plasma lipoprotein particle levels	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=5034
TOP3A		0.047481176642842904		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=7156
APOB		0.04252019624151404	lipid homeostasis, lipid transfer activity, lipoprotein particle, plasma lipoprotein particle, plasma lipoprotein particle assembly, plasma lipoprotein particle organization, plasma lipoprotein particle remodeling, protein-containing complex remodeling, protein-lipid complex, protein-lipid complex assembly, protein-lipid complex remodeling, protein-lipid complex subunit organization, regulation of plasma lipoprotein particle levels, sterol homeostasis, sterol transfer activity, sterol transporter activity, triglyceride-rich lipoprotein particle remodeling, triglyceride-rich plasma lipoprotein particle	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=338
APOA4		0.03452446694740491	cholesterol esterification, lipid homeostasis, lipid transfer activity, lipoprotein particle, plasma lipoprotein particle, plasma lipoprotein particle assembly, plasma lipoprotein particle organization, plasma lipoprotein particle remodeling, protein-containing complex remodeling, protein-lipid complex, protein-lipid complex assembly, protein-lipid complex remodeling, protein-lipid complex subunit organization, regulation of cholesterol esterification, regulation of plasma lipoprotein particle levels, steroid esterification, sterol esterification, sterol homeostasis, sterol transfer activity, sterol transporter activity, triglyceride-rich lipoprotein particle remodeling, triglyceride-rich plasma lipoprotein particle	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=337
APOA2		0.032744809982061474	cholesterol esterification, lipid homeostasis, lipid transfer activity, lipoprotein particle, plasma lipoprotein particle, plasma lipoprotein particle assembly, plasma lipoprotein particle organization, plasma lipoprotein particle remodeling, protein-containing complex remodeling, protein-lipid complex, protein-lipid complex assembly, protein-lipid complex remodeling, protein-lipid complex subunit organization, regulation of cholesterol esterification, regulation of plasma lipoprotein particle levels, steroid esterification, sterol esterification, sterol homeostasis, sterol transfer activity, sterol transporter activity, triglyceride-rich lipoprotein particle remodeling, triglyceride-rich plasma lipoprotein particle	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=336
EXD1		0.024485623581486482	exonuclease activity	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=161829
EXD2		0.02192681688225845	exonuclease activity	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=55218
EXD3		0.021071297015635093	exonuclease activity	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=54932
AC099489.1		0.020743768886379077		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=400499
TUBGCP6		0.01902196781116433	cell division site, gamma-tubulin complex, microtubule binding, microtubule nucleation, microtubule polymerization, microtubule polymerization or depolymerization	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=85378
TUBGCP4		0.018263413240070914	cell division site, gamma-tubulin complex, microtubule binding, microtubule nucleation, microtubule polymerization, microtubule polymerization or depolymerization	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=27229
TUBGCP2		0.017831390288378823	cell division site, gamma-tubulin complex, microtubule binding, microtubule nucleation, microtubule polymerization, microtubule polymerization or depolymerization	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=10844
CTNNAL1		0.017296129898996926		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=8727
TUBGCP3		0.016636082589857437	cell division site, gamma-tubulin complex, microtubule binding, microtubule nucleation, microtubule polymerization, microtubule polymerization or depolymerization	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=10426
ACTR1B		0.01611855983755761		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=10120
CTNNA2		0.014986737929081562	cell-cell junction, synapse organization	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=1496
APOA1		0.014337155690962888	cell-cell adhesion via plasma-membrane adhesion molecules, cholesterol esterification, lipid homeostasis, lipid transfer activity, lipoprotein particle, plasma lipoprotein particle, plasma lipoprotein particle assembly, plasma lipoprotein particle organization, plasma lipoprotein particle remodeling, protein-containing complex remodeling, protein-lipid complex, protein-lipid complex assembly, protein-lipid complex remodeling, protein-lipid complex subunit organization, regulation of cholesterol esterification, regulation of plasma lipoprotein particle levels, steroid esterification, sterol esterification, sterol homeostasis, sterol transfer activity, sterol transporter activity, triglyceride-rich lipoprotein particle remodeling, triglyceride-rich plasma lipoprotein particle	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=335
CTNNA1		0.01401342380477727	cell-cell junction organization, extrinsic component of membrane, extrinsic component of plasma membrane	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=1495
ACTA2		0.013133504473534618	actin-based cell projection, mesenchyme morphogenesis	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=59
ACTR1A		0.012755826874023546		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=10121
ACTG2		0.012428942849245839	actin-based cell projection, mesenchyme morphogenesis	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=72
TOP2A		0.01169090303365744		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=7153
CDH26		0.010753971888836145	extrinsic component of membrane, extrinsic component of plasma membrane	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=60437
CDH23		0.010753971604562429	actin-based cell projection, cell-cell adhesion via plasma-membrane adhesion molecules, extrinsic component of membrane, extrinsic component of plasma membrane	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=64072
PCDH15		0.010753964812007633	actin-based cell projection	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=65217
VCL		0.010751897196142446	cell-cell junction, cell-cell junction organization	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=7414
CDH2		0.010549330123264533	cell-cell adhesion via plasma-membrane adhesion molecules, cell-cell junction, cell-cell junction organization, extrinsic component of membrane, extrinsic component of plasma membrane, synapse organization	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=1000
CDH4		0.010188675159852167	cell-cell adhesion via plasma-membrane adhesion molecules, cell-cell junction organization, extrinsic component of membrane, extrinsic component of plasma membrane	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=1002
CDH24		0.010149887384554857	cell-cell adhesion via plasma-membrane adhesion molecules, cell-cell junction, cell-cell junction organization, extrinsic component of membrane, extrinsic component of plasma membrane	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=64403
CDHR1		0.009941016441769146		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=92211
DCHS1		0.009876965238691804	cell-cell adhesion via plasma-membrane adhesion molecules, cell-cell junction, cell-cell junction organization, extrinsic component of membrane, extrinsic component of plasma membrane, mesenchyme morphogenesis	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=8642
