Symbol	Description	Score	Functions	Links
KLHL33		0.9417517056338394		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=123103
SPATA22		0.8307528508019797		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=84690
IRAG1		0.8160832764946695		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=10335
PCDH15		0.8012513090822899	retina homeostasis, tissue homeostasis	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=65217
TUBA3C		0.7884143278042846		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=7278
STARD9		0.7875938240408551	tubulin binding	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=57519
FSIP2		0.7682793666783669	cilium assembly, cilium movement	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=401024
CNTNAP4		0.7656155162828095		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=85445
SPATA13		0.7487099499289895	cell leading edge, cell projection membrane, leading edge membrane, Rac GTPase binding, Rho guanyl-nucleotide exchange factor activity, ruffle	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=221178
RRP12		0.7348606663695372		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=23223
PSD3		0.7320371934598091	cell leading edge, cell projection membrane, leading edge membrane, ruffle	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=23362
GPR161		0.7305264644330963	cell projection membrane	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=23432
UHRF1BP1L		0.7010095128668481		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=23074
TRANK1		0.6699782324887921		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=9881
DNAH6		0.6605358801219402		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=1768
RRP1		0.6556004973393732		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=8568
MICA		0.6414057664543136		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=100507436
C2CD3		0.625293395588215	centriole assembly, centrosome, centrosome cycle, centrosome duplication, cilium assembly, membrane docking, microtubule organizing center organization, organelle localization by membrane tethering, protein localization to cytoskeleton, protein localization to microtubule cytoskeleton, protein localization to microtubule organizing center	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=26005
CA5A		0.6249381152430903		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=763
LMCD1		0.613018537020435	calcium-mediated signaling, muscle adaptation, regulation of muscle adaptation, regulation of muscle system process	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=29995
CAMK2D		0.6015507830105296	actin filament-based movement, action potential, calcium ion transport, calcium ion transport into cytosol, calcium-mediated signaling, cardiac conduction, cardiac muscle cell action potential, cardiac muscle cell contraction, cardiac muscle contraction, cell communication involved in cardiac conduction, cytosolic calcium ion transport, heart contraction, heart process, maintenance of location, maintenance of location in cell, multicellular organismal signaling, muscle adaptation, negative regulation of sequestering of calcium ion, positive regulation of cytosolic calcium ion concentration, regulation of actin filament-based movement, regulation of action potential, regulation of blood circulation, regulation of cardiac muscle cell action potential, regulation of cardiac muscle cell contraction, regulation of cardiac muscle contraction, regulation of heart contraction, regulation of heart rate, regulation of metal ion transport, regulation of muscle adaptation, regulation of muscle system process, regulation of sequestering of calcium ion, regulation of striated muscle contraction, response to calcium ion, sequestering of calcium ion	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=817
BBS9		0.6015131906761972	centrosome	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=27241
CDH13		0.5933980222466437	calcium-mediated signaling, cell-matrix adhesion, cell-substrate adhesion, regulation of cell-matrix adhesion, regulation of cell-substrate adhesion	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=1012
PIBF1		0.5573937554170295	centrosome, cilium assembly, protein localization to cytoskeleton, protein localization to microtubule cytoskeleton, protein localization to microtubule organizing center	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=10464
P2RX7		0.5369942156180217	calcium ion transport, calcium ion transport into cytosol, calcium-mediated signaling, cytosolic calcium ion transport, positive regulation of cell projection organization, positive regulation of cytosolic calcium ion concentration, regulation of metal ion transport, tissue homeostasis	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=5027
CTNNA3		0.5321171488753955	actin filament-based movement, action potential, bundle of His cell to Purkinje myocyte communication, cardiac conduction, cardiac muscle cell action potential, cardiac muscle cell action potential involved in contraction, cardiac muscle cell contraction, cardiac muscle contraction, cell communication involved in cardiac conduction, cell-cell junction, heart contraction, heart process, multicellular organismal signaling, regulation of actin filament-based movement, regulation of action potential, regulation of blood circulation, regulation of cardiac muscle cell action potential, regulation of cardiac muscle cell contraction, regulation of cardiac muscle contraction, regulation of heart contraction, regulation of heart rate, regulation of muscle system process, regulation of striated muscle contraction, ventricular cardiac muscle cell action potential	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=29119
FBXO21		0.06685931539731971		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=23014
ARHGEF4		0.05524593900436725	Rac GTPase binding, Rho guanyl-nucleotide exchange factor activity	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=50649
