"chr"	"start"	"end"	"cnvFlag"	"info"	"CnvKey"
"chr1"	10001	12780116	"Deletion"	"1p36 microdeletion syndrome|Deletion|DECIPHER|"	"CnvKey.GD1"
"chr1"	10001	12780116	"Duplication"	"1p36 microduplication syndrome|Duplication|DECIPHER|"	"CnvKey.GD2"
"chr1"	898704	6229913	"Deletion"	"1p36 region (includes GABRD) [ClinGen]|Deletion|ISCA|"	"CnvKey.GD3"
"chr1"	898704	6229913	"Duplication"	"1p36 region (includes GABRD) [ClinGen]|Duplication|ISCA|"	"CnvKey.GD4"
"chr1"	145601946	146033746	"Deletion"	"1q21.1 recurrent region (includes RBM8A) [ClinGen]|Deletion|ISCA|"	"CnvKey.GD5"
"chr1"	145601946	146033746	"Duplication"	"1q21.1 recurrent region (includes RBM8A) [ClinGen]|Duplication|ISCA|"	"CnvKey.GD6"
"chr1"	145686996	146048496	"Deletion"	"1q21.1 susceptibility locus for Thrombocytopenia-Absent Radius (TAR) syndrome|Deletion|DECIPHER|"	"CnvKey.GD7"
"chr1"	145686996	146048496	"Deletion"	"1q21.1 susceptibility locus for Thrombocytopenia-Absent Radius (TAR) syndrome|Deletion|DECIPHER|"	"CnvKey.GD8"
"chr1"	147061832	148411223	"Deletion"	"1q21.1 recurrent microdeletion (susceptibility locus for neurodevelopmental disorders)|Deletion|DECIPHER|"	"CnvKey.GD9"
"chr1"	147061832	148411223	"Duplication"	"1q21.1 recurrent microduplication (possible susceptibility locus for neurodevelopmental disorders)|Duplication|DECIPHER|"	"CnvKey.GD10"
"chr1"	243124429	245154985	"Deletion"	"1q43q44 terminal region (includes AKT3)|Deletion|ISCA|"	"CnvKey.GD11"
"chr10"	45817635	50134990	"Deletion"	"10q11.21-q11.23 deletion|Deletion|other|"	"CnvKey.GD12"
"chr10"	79923088	86979631	"Deletion"	"10q22.3q23.2 recurrent region (LCR-3/4-flanked) (includes BMPR1A)|Deletion|ISCA|"	"CnvKey.GD13"
"chr10"	79923088	86979631	"Duplication"	"10q22.3q23.2 recurrent region (LCR-3/4-flanked) (includes BMPR1A)|Duplication|ISCA|"	"CnvKey.GD14"
"chr11"	1995176	2885765	"Duplication"	"11p15 region (includes H19, KCNQ1)|Duplication|ClinGen|"	"CnvKey.GD15"
"chr11"	1997845	2003145	"Deletion"	"ISCA-37444|Imprinting Control Region 1|Deletion|ISCA|"	"CnvKey.GD16"
"chr11"	1997845	2003145	"Duplication"	"ISCA-37444|Imprinting Control Region 1|Duplication|ISCA|"	"CnvKey.GD17"
"chr11"	31784791	32435541	"Deletion"	"WAGR 11p13 deletion syndrome|Deletion|DECIPHER|"	"CnvKey.GD18"
"chr11"	31784791	32435541	"Duplication"	"11p13 reciprocal duplication |Duplication|DECIPHER|"	"CnvKey.GD19"
